latitude,longitude,confidence,,,
19.402,-155.276,100,,,
19.4,-155.293,100,,,
19.41,-155.284,74,,,
19.033,-72.127,31,,,
19.024,-72.442,100,,,
19.169,-71.855,70,,,
20.319,-76.11,47,,,
20.793,-77.538,73,,,
20.806,-77.541,52,,,
21.901,-78.428,68,,,
26.634,-78.483,42,,,
26.341,-80.669,100,,,
26.334,-80.701,50,,,
26.338,-80.675,100,,,
26.353,-80.679,100,,,
34.458,-78.443,40,,,
17.745,-91.267,76,,,
18.004,-90.906,73,,,
18.001,-90.928,81,,,
18,-90.94,78,,,
18.133,-90.533,86,,,
18.131,-90.545,56,,,
18.14,-90.559,100,,,
17.896,-92.492,91,,,
18.031,-91.557,62,,,
18.03,-91.568,41,,,
17.837,-93.12,100,,,
17.847,-93.118,100,,,
17.846,-93.127,92,,,
18.052,-91.653,69,,,
18.051,-91.663,21,,,
18.06,-91.665,63,,,
18.022,-91.956,94,,,
18.156,-91.45,100,,,
18.155,-91.461,100,,,
18.159,-91.457,100,,,
17.587,-96.69,100,,,
17.586,-96.701,100,,,
17.584,-96.711,65,,,
17.88,-94.811,78,,,
17.879,-94.821,60,,,
17.59,-96.686,69,,,
17.589,-96.696,100,,,
17.587,-96.706,100,,,
18.239,-92.467,100,,,
18.249,-92.459,83,,,
18.248,-92.469,91,,,
18.552,-90.926,93,,,
17.528,-98.788,35,,,
17.526,-98.793,67,,,
17.538,-98.795,26,,,
18.645,-92.174,84,,,
17.806,-98.373,52,,,
17.819,-98.362,23,,,
17.604,-99.687,100,,,
18.283,-95.763,80,,,
18.281,-95.773,82,,,
18.224,-96.182,74,,,
18.223,-96.192,88,,,
18.292,-96.247,92,,,
19.167,-90.231,88,,,
19.165,-90.244,100,,,
18.328,-96.358,80,,,
19.171,-90.455,73,,,
18.507,-95.798,78,,,
17.863,-100.311,64,,,
19.401,-90.646,100,,,
19.399,-90.658,100,,,
19.398,-90.671,100,,,
19.41,-90.66,100,,,
19.408,-90.672,100,,,
18.6,-96.512,100,,,
19.289,-92.167,69,,,
19.299,-92.168,98,,,
19.297,-92.178,100,,,
19.304,-92.201,100,,,
19.303,-92.211,75,,,
18.449,-98.034,100,,,
18.447,-98.047,85,,,
18.445,-98.06,89,,,
18.458,-98.049,70,,,
18.455,-98.062,100,,,
19.398,-92.039,100,,,
19.396,-92.05,100,,,
19.437,-92.034,70,,,
19.565,-92.236,100,,,
18.676,-98.403,42,,,
18.674,-98.417,100,,,
19.264,-97.629,54,,,
19.262,-97.641,71,,,
19.173,-98.325,34,,,
19.443,-98.363,39,,,
19.157,-100.238,79,,,
19.428,-98.811,79,,,
